route_id,agency_id,route_short_name,route_long_name,route_color,route_type
0,0,270,MiniBus 270: Tupuraya → Avenida Blanco Galindo,,3
1,0,260,MiniBus 260: Avenida Blanco Galindo → Calle Litoral,,3
2,1,201,MiniBus 201: Avenida Blanco Galindo → Calle Litoral,,3
3,2,205,MiniBus 205: MiniBus 205: Avenida Belzu → Plaza Avenida Blanco Galindo,,3
4,3,B,MicroBus B: Calle Las Buganvillas → Pasaje F,,3
5,3,A,MicroBus A: Villa Israel → Río Taquiña,,3
6,1,203,MicroBus 203: Avenida Belzu → Plaza Hernando Siles,,3
7,3,C,MicroBus C: Avenida Pedro de la Gasca → Calle Manuel Carrasco Jimenez,,3
8,4,211,"MiniBus 211: Calle C. Serruto, Quillacollo → Parque Ecoturístico Pairumani",,3
9,3,E,MicroBus E: Avenida Chacancalle → Avenida Circunvalación,,3
10,5,106,Trufi 106: Plaza Principal El Paso → Avenida Ayacucho,,3
11,4,290,Trufi 290: Avenida Blanco Galindo → Chilimarca,,3
12,3,LL,MicroBus LL: La Concordia → Charles Darwin,,3
13,2,W,MicroBus W: Calle Poopó → Huachi Rancho,,3
14,3,G,MicroBus G: Calle Alipio Valencia Vega → Avenida Arquímedes,,3
15,3,H,MicroBus H: Avenida Chapare → Avenida Río Parapeti,,3
16,3,0,MicroBus 0: Avenida Río Parapeti → Avenida Chapare,,3
17,6,Q,MicroBus Q: Villa Urkupiña Calvario → Avenida Circuito Bolivia,,3
18,7,Teleférico,Teleférico: Parque de la Autonomía → Cristo de la Concordia,ffff00,6
19,8,Verde,Tranvía Verde: Suticollo → San Antonio,00cc00,0
20,8,Roja,Tranvía Roja: Cochabamba → Kiñiloma,ff0000,0
21,9,16,MiniBus 16: Avenida Silala → OTB Ecológica,,3
22,10,R,MicroBus R: Bello Horizonte → Avenida Arquímedes,,3
23,9,1,MiniBus 1: Avenida Humberto Asin → Calle Ciudad del niño,,3
24,10,136,Trufi 136: Villa San Andres → Avenida Segunda,,3
25,11,102,Trufi 102: Calle María Luisa Pacheco → Tamborada B,,3
26,12,108,Trufi 108: Avenida Benjo Cruz → Avenida París,,3
27,11,10,MiniBus 10: Calle Faustino Suarez → Cerro Calomani,,3
28,13,1001,Trufi 1001: Avenida Río Caine → OTB Ecológica,,3
29,13,101,Trufi 101: Río Taquiña → La Tamborada,,3
30,2,104,Trufi 104: Villa San Miguel → 1ro de Mayo,,3
31,14,107,Trufi 107: Calle Yanacuna → Maica Quenamari,,3
32,15,109,Trufi 109: Calle Abelia → Torrentera Pajcha,,3
33,11,121,Trufi 121: Calle Juan Aldon → Calle Sora Sora,,3
34,16,M,MicroBus M: Calle Jose Curtinas → Calle Pozo Petrolero Buena Vista,,3
35,11,11,MiniBus 11: Los Ceibos → Calle Viena,,3
36,17,Z12,MiniBus Z12: Univalle → Villa Armonia,,3
37,18,232,MiniBus 232: Calle Isla del Sol → Avenida Eliodoro Villazón,,3
38,19,240,MiniBus 240: Calle Trojes → Avenida Eliodoro Villazón,,3
39,19,230,Trufi 230: Calle Grover Suarez → Avenida Eliodoro Villazón,,3
40,2,252,Trufi 252: Calle Litoral → Avenida Blanco Galindo,,3
41,1,200,MicroBus 200: Calle Litoral → Avenida Blanco Galindo,,3
42,20,118,Trufi 118: Calle Tupac Katari → Chilimarca,,3
43,21,116,Trufi 116: Alto Buena Vista → Torrentera Logustani,,3
44,3,Y,MicroBus Y: Avenida Melchor Pérez de Olguín → Achumani,,3
45,22,Taquiña,Trufi Taquiña: Cruce Taquiña → Planta Taquiña,,3
46,23,113,Trufi 113: Puente Khora → La Serena Calicanto,,3
47,24,01,Trufi 01: Calle Calamarca → Calle 6,,3
48,9,03,Trufi 03: Calle Curupau → Calle Luis Zegarra,,3
49,25,010,Trufi 010: Calle Provincia F. Baldivieso → Los Ceibos,,3
50,11,45,MiniBus 45: Calle Serranía de Caíza → Torrentera Arocagua Mayu,,3
51,3,3V,MicroBus 3V: Río Taquiña → Calle Tómas Gamboa,,3
52,25,112,Trufi 112: Calle Volcán Tolima → Calle Francisco de Goya,,3
53,18,212,MiniBus 212: Hipódromo Sud → Molino Blanco,,3
54,26,114,Trufi 114: Avenida Uncia → Calle Ruminawi,,3
55,3,122,Trufi 122: Buena Vista → Calle Qhochapampa,,3
56,25,134,Trufi 134: Avenida Chiquicollo → Calle Antofagasta,,3
57,14,135,Trufi 135: Villa Israel → Calle Los Olivos,,3
58,27,311,Trufi 311: Pampita Mejillones → Calle Canichana,,3
59,28,119,Trufi 119: Loma Pampa → Villa Taquiña,,3
60,13,123,Trufi 123: Mineros San Juan → Calle Wawaki,,3
61,29,012,Trufi 012: Nueva Jerusalén → Calle Grover Suarez,,3
62,21,115,Trufi 115: Avenida Inca Camacho → Sindicato Agrario Taquiña,,3
63,3,160,MiniBus 160: Rocas Blancas → Calle T. Achu,,3
64,19,233,MiniBus 233: Calle Nicolás Maldonado → Calle Manuel P. Laredo,,3
65,18,220,MicroBus 220: Avenida Eliodoro Villazón → Calle Eric Asplund,,3
66,11,6,MiniBus 6: Avenida Sexta → Avenida Conchupata,,3
67,14,125,Trufi 125: Calle Canasita → Calle R. Levano,,3
68,30,131,Trufi 131: Calle La Rioja → Calle Lucia Alcocer,,3
69,31,19,MiniBus 19: Calle Pascual Canaviri → Calle 7,,3
70,11,2,MiniBus 2: Calle Capitán Luis Garcia → Calle Las Begonias,,3
71,26,20,MiniBus 20: Calle Provincia Barrón → Dora Halkier,,3
72,25,130,Trufi 130: Avenida Centenario → Avenida Circunvalación,,3
73,1,202,MiniBus 202: Avenida Blanco Galindo → Calle Villamontes,,3
74,3,I,MicroBus I: Avenida Circunvalación → Calle La Rioja,,3
75,10,P,Trufi P: Calle Gran Chaco → Puente Quinamari,,3
76,11,110,Trufi 110: Avenida Centenario → Calle Noruega,,3
77,32,111,Trufi 111: Calle Albert Einstein → Villa Israel,,3
