trip_id,start_time,end_time,headway_secs,exact_times
0,08:00:00,20:10:00,300,1
1,06:00:00,20:40:00,300,1
2,08:00:00,19:00:00,300,1
3,08:00:00,19:20:00,300,1
4,08:00:00,19:30:00,300,1
5,05:00:00,07:25:00,300,1
6,05:00:00,20:15:00,300,1
7,08:05:00,18:40:00,300,1
8,06:00:00,19:20:00,300,1
9,05:00:00,20:15:00,300,1
10,05:00:00,20:15:00,300,1
11,08:40:00,18:50:00,300,1
12,04:30:00,19:10:00,300,1
13,08:40:00,18:50:00,300,1
14,04:30:00,19:10:00,300,1
15,07:50:00,18:10:00,300,1
16,04:30:00,19:10:00,300,1
17,08:10:00,19:30:00,300,1
18,06:40:00,19:30:00,300,1
19,08:20:00,17:30:00,300,1
20,06:30:00,18:15:00,300,1
21,09:30:00,18:30:00,300,1
22,06:40:00,19:05:00,300,1
23,05:00:00,07:10:00,300,1
24,05:00:00,07:10:00,300,1
25,08:00:00,19:15:00,300,1
26,08:00:00,19:00:00,300,1
27,04:00:00,19:55:00,300,1
28,06:25:00,19:25:00,300,1
29,07:30:00,14:30:00,300,1
30,07:10:00,15:40:00,300,1
31,05:40:00,16:00:00,300,1
32,05:20:00,15:20:00,300,1
33,06:30:00,20:00:00,300,1
34,06:00:00,18:30:00,300,1
35,06:00:00,19:00:00,300,1
36,06:00:00,18:00:00,300,1
37,06:00:00,20:50:00,300,1
38,05:50:00,21:10:00,300,1
39,06:40:00,20:00:00,300,1
40,08:20:00,18:20:00,300,1
41,05:30:00,19:40:00,300,1
42,06:30:00,20:00:00,300,1
43,07:40:00,20:10:00,300,1
44,04:00:00,05:45:00,300,1
45,05:40:00,18:40:00,300,1
46,06:25:00,18:25:00,300,1
47,08:10:00,19:30:00,300,1
48,09:15:00,17:15:00,300,1
49,06:40:00,19:10:00,300,1
50,05:20:00,08:00:00,300,1
51,11:40:00,18:40:00,300,1
52,06:40:00,19:40:00,300,1
53,08:00:00,20:00:00,300,1
54,05:00:00,19:00:00,300,1
55,07:25:00,20:00:00,300,1
56,10:00:00,20:00:00,300,1
57,09:30:00,18:30:00,300,1
58,10:20:00,19:20:00,300,1
59,07:00:00,20:00:00,300,1
60,05:00:00,21:00:00,300,1
61,08:00:00,19:00:00,300,1
62,05:55:00,17:30:00,300,1
63,06:00:00,20:30:00,300,1
64,06:45:00,18:55:00,300,1
65,05:30:00,18:50:00,300,1
66,08:25:00,20:00:00,300,1
67,06:40:00,20:00:00,300,1
68,12:00:00,14:00:00,300,1
69,13:00:00,15:00:00,300,1
70,06:10:00,20:15:00,300,1
71,06:20:00,19:15:00,300,1
72,04:30:00,20:30:00,300,1
73,07:30:00,22:10:00,300,1
74,06:10:00,18:00:00,300,1
75,05:50:00,18:00:00,300,1
